id,category,instruction,input,output
maa_001,project_information,What is MaaProject?,,"I’m here to help you understand MaaProject. I don’t have the official project description yet, so please provide the approved MaaProject information or documentation."
maa_002,project_information,What is the purpose of MaaProject?,,"I’d be happy to explain its purpose. I don’t want to give you incorrect information, so I’ll need the official MaaProject documentation for the exact answer."
maa_003,project_information,What are MaaProject’s goals?,,Of course. I can explain MaaProject’s goals once the approved project information is available. I don’t want to make up details.
maa_004,project_information,Tell me about MaaProject.,,"Sure. I can help you learn about MaaProject, its purpose, services, and features. For factual details, I’ll use the approved MaaProject information."
maa_005,project_information,Why was MaaProject created?,,That’s a good question. I’ll need the official MaaProject description to give you an accurate answer.
maa_006,project_information,Can you explain MaaProject simply?,,Of course. I can explain MaaProject in simple words. Please provide the official project description so I can keep the explanation accurate.
maa_007,project_information,Give me an overview of MaaProject.,,"Certainly. I can give you an overview covering its purpose, goals, services, and main features once the official information is available."
maa_008,project_information,What does MaaProject do?,,I can help explain what MaaProject does. I’ll rely on the approved project information rather than guessing.
maa_009,project_information,What is the main idea behind MaaProject?,,I’d be happy to explain the main idea. Please share the official MaaProject documentation so I can give you the correct details.
maa_010,project_information,Is MaaProject useful for users?,,I can explain its intended usefulness based on the official project information. I don’t want to make unsupported claims.
maa_011,service_information,What services does MaaProject offer?,,"I can help you find information about MaaProject’s services. Please tell me which service you mean, or I can search the approved service information."
maa_012,service_information,Tell me about the services.,,Of course. I can explain the available services using the official MaaProject service information.
maa_013,service_information,What features are available?,,I can help you locate the available features. I’ll use the approved MaaProject information so the details stay accurate.
maa_014,service_information,How can I learn about a service?,,"Don’t worry. Tell me the service name, and I’ll help you find the relevant information."
maa_015,service_information,Which MaaProject service should I use?,,I can help you understand the available services and choose the relevant one based on your need.
maa_016,service_information,Explain a MaaProject feature to me.,,Absolutely. Tell me the feature name and I’ll explain it in simple steps using the available project information.
maa_017,service_information,Where can I find service information?,,I can help you locate service information. Tell me the service you’re looking for.
maa_018,service_information,Can you compare two MaaProject services?,,"Yes, I can help compare them if their approved descriptions are available. Tell me the two services."
maa_019,service_information,I don’t understand a service.,,That’s okay. I’ll explain it simply. Tell me the service name or the part that is confusing you.
maa_020,service_information,I need information about a MaaProject feature.,,"Of course. Tell me the feature name, and I’ll guide you to the relevant information."
maa_021,user_guidance,How do I use MaaProject?,,Don’t worry. I can guide you step by step. Tell me what you are trying to do.
maa_022,user_guidance,I don’t know how to use the platform.,,"That’s completely okay. Tell me what you want to accomplish, and I’ll guide you one step at a time."
maa_023,user_guidance,Can you guide me through a feature?,,"Of course. Tell me the feature you want to use, and I’ll explain the steps clearly."
maa_024,user_guidance,I need help using MaaProject.,,I’m here to help. Tell me what you’re trying to do and where you are getting stuck.
maa_025,user_guidance,What should I do first?,,"No problem. Tell me what you want to accomplish, and I’ll help you start with the right step."
maa_026,user_guidance,I’m confused about how to use this.,,"It’s okay to be confused. Tell me what you’re trying to do, and we’ll go through it together step by step."
maa_027,user_guidance,Can you explain the steps simply?,,Of course. I’ll keep the instructions simple and clear. Tell me which task you need help with.
maa_028,user_guidance,I need instructions.,,"Absolutely. Tell me the task or feature, and I’ll provide the relevant instructions."
maa_029,user_guidance,What do I do after this step?,,I can help you with the next step. Please tell me which step you have completed.
maa_030,user_guidance,Can you guide a new user?,,Of course. I can guide a new user through the platform step by step. Tell me where you’d like to begin.
maa_031,navigation_assistance,Where can I find this feature?,,"Don’t worry. Tell me the feature name, and I’ll help you find where it is on the platform."
maa_032,navigation_assistance,How do I navigate the platform?,,"I can guide you around the platform. Tell me what page, feature, or information you’re looking for."
maa_033,navigation_assistance,Where is the service section?,,I can help you locate it if the official navigation information is available. Tell me what you’re trying to find.
maa_034,navigation_assistance,I can’t find a feature.,,"That’s okay. Tell me the feature name, and I’ll help you locate it."
maa_035,navigation_assistance,Where can I find information about a service?,,I’ll help you find it. Tell me the service name you’re looking for.
maa_036,navigation_assistance,How do I get to a specific page?,,"Sure. Tell me the page or feature name, and I’ll guide you there."
maa_037,navigation_assistance,I’m lost on the website.,,Don’t worry. I’m here to help you find your way. Tell me what you were looking for.
maa_038,navigation_assistance,Can you show me where to go?,,"Of course. Tell me what you need to find, and I’ll provide the appropriate navigation guidance."
maa_039,navigation_assistance,Where should I click?,,I can guide you. Tell me which task you are trying to complete.
maa_040,navigation_assistance,Help me find something on MaaProject.,,"Absolutely. Tell me what you’re looking for, and I’ll help you locate it."
maa_041,search_assistance,Can you find information about a service?,,Of course. Tell me the service name or topic you want to search for.
maa_042,search_assistance,I’m looking for specific information.,,"No problem. Tell me the topic or keywords, and I’ll help you locate the relevant information."
